Name,Quantity,Bin,Tags,Notes,Links & docs,Date,Location
Husky Combinational Circuit Kit,1,,IC Kit,,,,Cabinet 5
Combinational generic box,1,,"IC, IC Kit",,,,Cabinet 5
High Current Common Mode kit,1,,IC Kit,,,,Cabinet 5
Atmega family box,1,,"Atmega Kit, IC Kit",,,,Cabinet 5
IC A/D Conv 16Bit Sampling 28SSOP,1,IC BIN X,IC,,,,IC BIN X
"SN74AC14N ",2,IC BIN X,IC,,,,"Cabinet 5, IC BIN X"
"DM74LS14N ",9,IC BIN X,IC,,,,"Cabinet 5, IC BIN X"
MM74C14N/CD40106BCN,8,IC BIN X,IC,,,,"Cabinet 5, IC BIN X"
L7812CV Voltage Regulator,99,BB 5,"IC, Voltage Regulator",,,,"BB 5, Grey Shelving"
SN7482N Full Adder,30,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,
74HC154N,5,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,
SN745161N,15,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
74As169 Binary counter up down 4 BIT,8,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
"Counter 4Bit up down ",1,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
SN74HC74N,2,IC BIN X,IC,,,,IC BIN X
LM319MXFSCT-ND,7,IC BIN X,IC,,,,IC BIN X
SN74LS541N,2,IC BIN X,IC,,,,IC BIN X
TMP175,3,IC BIN X,"IC, Temperature Sensor",,,,IC BIN X
Shift register 4 stage pipo,6,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
Shift register 8bit SIPO,11,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
MC68000,2,,IC,"Husky Combinational Circuit Kit (https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21) ",,,Cabinet 5
SN74LS96N,3,,IC,https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21,,,Cabinet 5
SN74LS32N,3,,IC,https://www.notion.so/Husky-Combinational-Circuit-Kit-93b0205b72c9463d946ad10d6fa83ff1?pvs=21,,,Cabinet 5
D FLIP FLOP HEX QUAD,7,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
ADUM1100BRZ,12,IC BIN X,IC,,,,IC BIN X
D flipflop,60,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
D flipflop Dual,10,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
D  flipflop octal,15,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
D flipflop HEX,100,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
jk flipflop,1,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
D latch octal,15,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
Mux 2:1,15,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
Mux 4:1,30,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
Mux 8:1,30,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
CD4051BCN,12,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
DEMUX/MUX Analog,11,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
Multiplier 4x4 bit,20,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
SN74LS244N,10,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
HEF4555BP,20,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
Ripple Counter 14 stage,20,,IC,"Combinational generic box (https://www.notion.so/Combinational-generic-box-4cb9ad25e9664cc78ad7124455f352f9?pvs=21) ",,,Cabinet 5
ATMEGA8L-8PU-ND,25,,"Atmega, IC","Atmega family box (https://www.notion.so/Atmega-family-box-90fd03dc12564488afe35bee966bf58e?pvs=21) ",,,Cabinet 5
ATMEGA328-PU-ND,113,,"Atmega, IC","Atmega family box (https://www.notion.so/Atmega-family-box-90fd03dc12564488afe35bee966bf58e?pvs=21) ",,,Cabinet 5
ATMEGA88PA-PU-ND,25,,"Atmega, IC","Atmega family box (https://www.notion.so/Atmega-family-box-90fd03dc12564488afe35bee966bf58e?pvs=21) ",,,Cabinet 5
ATMEGA324A-PU-ND,25,,"Atmega, IC","Atmega family box (https://www.notion.so/Atmega-family-box-90fd03dc12564488afe35bee966bf58e?pvs=21) ",,,Cabinet 5
ATMEGA324P-PU,1,,"Atmega, IC","Atmega family box (https://www.notion.so/Atmega-family-box-90fd03dc12564488afe35bee966bf58e?pvs=21) ",,,Cabinet 5
TLC59210IN,3,IC BIN X,IC,,,,IC BIN X
ZIF IC Sockets,3,BB 3,"Breadboard, IC, IC Socket",,,,BB 3
Kuman 3.5” inch TFT,1,,Display,,,,Cabinet 3
uOLED-128-GI,4,,Display,,,,Cabinet 3
ULCD-220RD,1,,Display,,,,Cabinet 2
WowWee Digital Photo Frame PF-760,1,,Display,,,,Cabinet 2
RA8875 Driver Board for 40-pin TFT Touch Display,1,,"Display, Display Drivers",Touch Screen Driver,https://www.adafruit.com/product/1590,,Cabinet 3
5” 40 pin TFT without Touch Display,1,,Display,,https://www.adafruit.com/product/1680,,Cabinet 3
Renesas HTS Demo Board,1,,Dev Kit,,,,Cabinet 2
ROC-RK3328-CC,1,,Dev Kit,,,,Cabinet 2
ATAVRDRAGON,1,,Dev Kit,,,,Cabinet 2
AVRISP MKII,4,,Dev Kit,,,,Cabinet 2
BeagleBoard-xM,1,,Dev Kit,,,,Cabinet 2
STM 32 Nucleo Development Board,1,,Dev Kit,,,,Cabinet 2
STM32F0DISCOVERY MB1034B,1,,Dev Kit,,,,Cabinet 2
stm32nucleo,2,,Dev Kit,,,,Cabinet 2
Dragon12-Light Development Board,1,,Dev Kit,,,,Cabinet 2
Breadboard Kit Mini 170 Tie points,1,BB32,Breadboard,,,,"BB32, Grey Shelving"
30-Pin Breadboard,0,BB32,Breadboard,,,,"BB32, Grey Shelving"
1 x 40 Breakaway Headers,,BB 3,Breadboard,,,,"BB 3, Grey Shelving"
2 x 4 Pin Extender,63,BB 3,Breadboard,,,,"BB 3, Grey Shelving"
2 x 8 Pin Extender,,BB 3,Breadboard,,,,"BB 3, Grey Shelving"
2 x 9 Pin Extender,5,BB 3,Breadboard,,,,"BB 3, Grey Shelving"
2 x 10 Pin Extender,5,BB 3,Breadboard,,,,"BB 3, Grey Shelving"
5 terminal potentiometer,6,BB 4,Potentiometer,,,,"BB 4, Grey Shelving"
2319020a_y70,1,BB 4,Potentiometer,,,,"BB 4, Grey Shelving"
200K OHM TRIMPOT VARIABLE RESISTOR 6MM,10,BB 4,Potentiometer,,,,"BB 4, Grey Shelving"
10 K Ohm Linear Potentiometer,13,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
3006W-1-204 200K Ohm Trimmer,9,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 500 Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 200 Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 20K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 2K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 100K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 100 Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 50K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 500K Ohm,20,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 1M Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 10K Ohm,5,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 200K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
Horiz Trimpot 5K Ohm,10,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
P160KNPD Potentionmeter,4,BB 4,Potentiometer,,,,"BB 4, Grey Shelving"
100 K Ohm Linear Potentiometer,16,BB 4,"Potentiometer, Resistors",,,,"BB 4, Grey Shelving"
IC ADJ LDO Regulator 8-DIP,3,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
LT1085 VOLTAGE REGULATOR,15,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
NJM7809FA Linear Voltage Regulator,2,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
LM340T5 7805 VOLTAGE REGULATOR,13,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
LM2577T-ADJ STEP UP VOLTAGE REGULATOR,2,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
LM7905CT Linear Voltage regulator,15,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
Linear Voltage Regulator LM78M15CT,18,BB 5,Voltage Regulator,,,,"BB 5, Grey Shelving"
Arduino Nano,13,BB 6,Arduino,,,,"BB 6, Grey Shelving"
Arduino Uno,13,BB 6,Arduino,,,,"BB 6, Grey Shelving"
Arduino Mega,7,BB 7,Arduino,,,,"BB 7, Grey Shelving"
SHIELD-PROT-02,61,"BB 1, BB 15","Arduino, Shield",,,,"BB 1, BB 15, Cabinet 3, Grey Shelving"
10-Pin Arduino Stacking Header,10,BB 28,"Arduino, extender",,,,"BB 28, Grey Shelving"
Wall chargers,9,BB 40,Adapters,,,"September 8, 2024",
memory IC 24LC64,62,,IC,,,"September 8, 2024",
HC-SRO4,1,BB 16,"Line Sensor, Sensors",,,"September 8, 2024",
DC-DC PK10-D5-S15,1,BB 35,Converter,,,"September 8, 2024",
BC547 C 011 Transitors,4,BB 19,Transistors,,,"September 8, 2024",
BA10324A Op-Amp,3,,"IC, Op-Amp",,,"September 8, 2024","BB 20, Grey Shelving"
LED 5mm red,2,BB 21,LED,,,"September 8, 2024",
oscillators 16Mhz,3,BB 37,Oscillator,,,"September 8, 2024",
3-8 Decoder/Demux 16-DIP,2,IC BIN X,IC,,,"September 8, 2024",
Ceramic Capacitor(7),1,BB 39,Capacitors,,,"September 8, 2024",
LM35CAZ Temperature Sensor,1,,"IC, Sensors",,,"September 8, 2024",IC BIN Y
Fuse Clips,200,BB 11,Fuse,,,,"BB 11, Grey Shelving"
SMD component X,1,,SMD,,,,Cabinet 5
INA145,100,,IC,,,,Cabinet 5
40-Pin IC Header,5,BB 28,,,,,"BB 28, Grey Shelving"
TEH70P24R0JE 3-Pin Resistor 24 Ohm,1,ic bin y,Resistors,,,,IC BIN Y
microphone uni directional 9.7x5.2mm,1,BB 38,Audio,,,,BB 38
668-1139-ND Speaker 80HM .1W,9,BB 38,Audio,,,,"BB 38, Grey Shelving"
SN74HC08N,2,IC BIN X,IC,,,,IC BIN X
PIC Programmer Board,1,,Pic Programmer,,,,Cabinet 2
ESP-8266,1,BB 7,"ESP, For Wireless",,,,"BB 7, Grey Shelving"
ESP 32,13,BB 7,ESP,,,,"BB 7, Grey Shelving"
NFC Key Fob and Cards and sensor,1,BB 16,"NFC, RFID, Sensors",,,,BB 16
PIR Motion Sensors,13,BB 16,"Motion Sensor, Sensors",,,,BB 16
Temperature and Humidity Sensor,6,BB 16,"Humidity Sensor, Sensors, Temperature Sensor",,,,BB 16
Liquid Level Sensor,5,BB 16,"Sensors, Water Sensor",,,,BB 16
QTR-!A Reflectance Sensor,14,BB 16,"Analog, IR Sensor, Line Sensor, Sensors",Reflectance sensors used in sensing boundries on sumobots and line following robot,,,BB 16
GRYO 300DEG/S 3.3MV 1.4KHZ,,,Sensors,,,,
Gyro 300DEG/S 3.3MV 1.4KHZ,1,BB 16,Sensors,,,,"BB 16, Grey Shelving"
3-Axis Gyroscope,2,BB 16,"IMU, Sensors",,,,BB 16
3-Axis Accelerometer,3,BB 16,"IMU, Sensors",,,,BB 16
3-axis Magnetometer (Compass),1,BB 16,"IMU, Sensors",,https://www.adafruit.com/product/1746,,BB 16
Color Sensors,1,BB 16,"Color Sensor, Sensors",,,,BB 16
Temperature Measuring Probes,2,BB 16,"Sensors, Temperature Sensor",,,,BB 16
LEM LTS25-NP,11,BB 16,"Current Sensor, Current Transducer, Sensors",,,,"BB 16, Grey Shelving"
Soldering Kit,15,BB 8,"Soldering, Soldering Kit",,,,"BB 8, Grey Shelving"
kit 5v power board,1,,Soldering Kit,,,,Cabinet 2
RK-370CA-18260,2,BB 9,DC Motor,,,,"BB 9, Grey Shelving"
XD-775,3,BB 22,"12V, Brushless, DC Motor",,,,"BB 22, Grey Shelving"
"Brushed DC Motor ",54,BB 9,"DC Motor, motor","28 small, 13 medium (thin), 9 medium (thick), 2 large, 2 long",,,"BB 9, Grey Shelving"
Servo 9g plastic,7,BB 10,"Servo Motor, motor",,,,"BB 10, Grey Shelving"
PCA9685,9,BB 22,"Motor Driver, Servo Motor",,,,"BB 22, Grey Shelving"
5521MG,2,BB 10,"Servo Motor, motor",,,,"BB 10, Grey Shelving"
MG945,1,BB 10,Servo Motor,,https://www.towerpro.com.tw/product/mg945/,,"BB 10, Grey Shelving"
MG90S Servo Motor,2,,Servo Motor,,,"September 8, 2024","BB 10, Grey Shelving"
SSC-32U Servo Controller,1,,"Arduino, Servo Motor, controller",,,"September 8, 2024","BB 22, Grey Shelving"
F16A250V,6,BB 11,Fuse,,,,"BB 11, Grey Shelving"
30pcs Maxi Fuses Assortment Kit,2,BB 11,Fuse,,,,BB 11
T2A250V,150,BB 11,Fuse,,,,"BB 11, Grey Shelving"
F15A250V,32,BB 11,Fuse,,,,"BB 11, Grey Shelving"
F0.5AL250V,8,BB 11,Fuse,,,,"BB 11, Grey Shelving"
F1AL250V,4,BB 11,Fuse,,,,"BB 11, Grey Shelving"
F30AL250V,5,BB 11,Fuse,,,,"BB 11, Grey Shelving"
Assorted Car Medium Blade Fuse Set,1,BB 11,Fuse,,,,"BB 11, Grey Shelving"
Music Maker Shield,3,BB 15,Shield,,,,"BB 15, Cabinet 3"
generic small fan,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
SFI12025L,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
"Generic 12V fan ",4,BB 12,FAN,,,,"BB 12, Grey Shelving"
CPU Cooler,7,BB 33,"Cooler, FAN",,,,"BB 33, Grey Shelving"
HXS C12025B,6,BB 12,FAN,,,,"BB 12, Grey Shelving"
Generic 24V Fan,2,BB 12,FAN,,,,"BB 12, Grey Shelving"
FFB0912EHE,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
DF1202512RFUN,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
SF12025L,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
F1588 JMC DATECH 12 VDC FAN,1,BB 12,FAN,,,,"BB 12, Grey Shelving"
AFB0612MC DELTA ELECTRONICS DC12V FAN,2,BB 12,FAN,,,,"BB 12, Grey Shelving"
Heatsinks,-1,BB 13,Heatsink,,,,"BB 13, Grey Shelving"
Heat Sinks,7,,Heatsink,Assorted,,,
SMD to PCB Board,4,BB 14,"PCB, SMD",,,,"BB 14, Grey Shelving"
SOIC - 8 PCB Breakout Board,5,BB 14,"PCB, SMD",,,,"BB 14, Grey Shelving"
IC RF Transceiver,5,BB 17,RF,,,,BB 17
Antenna (Generic),4,BB 17,"Antenna, RF",,,,"BB 17, Grey Shelving"
XBee Pro S1 - RF Module,2,BB 17,"2.4 GHz, RF",,https://hub.digi.com/support/products/digi-xbee/digi-xbee-s1/,,BB 17
XBee S2 - RF Module,2,BB 17,"2.4 GHz, RF",,,,BB 17
nRF24L01 Transceiver Modules,2,BB 17,"Arduino Modules, For Wireless, RF",2.4 – 2.5GHz,https://howtomechatronics.com/tutorials/arduino/arduino-wireless-communication-nrf24l01-tutorial/,,BB 17
433MHz RF Transmitter and Receiver Wireless Modules,6,BB 17,"For Wireless, RF",,https://www.amazon.ca/Transmitter-Receiver-Wireless-Modules-Raspberry/dp/B01N4WBL4V,,BB 17
RASPBERRY PI ZERO 2,1,,Raspberry Pi,,,,Cabinet 2
Raspberry Pi 3 Model B,2,,Raspberry Pi,,,,Cabinet 2
Raspberry Pi 4 Model B,0,,Raspberry Pi,,,,Cabinet 2
Raspberry Pi 1,5,BB 18,Raspberry Pi,,,,"BB 18, Grey Shelving"
Raspberry PI Pico,2,BB 18,Raspberry Pi,,,,"BB 18, Grey Shelving"
"TSM480P06 ",7,BB 19,MOSFET,,,,"BB 19, Grey Shelving"
"TSM340N06

 ",8,BB 19,MOSFET,,,,"BB 19, Grey Shelving"
IRFP2907,8,BB 19,MOSFET,,,,"BB 19, Grey Shelving"
"RFP30N06LE ",1,BB 19,MOSFET,,,,"BB 19, Grey Shelving"
DragonBoard 410c,1,,"Dev Kit, Qualcomm",,,,Cabinet 2
TL0821P,4,BB 20,Op-Amp,,https://www.alldatasheet.com/view_datasheet.jsp?Searchword=TL0821P&gad_source=1&gclid=Cj0KCQjww5u2BhDeARIsALBuLnMeMmZ5v78lSU6Q_9biIqaPbJ6aXLYP-_u63vjL9VrZ6KSqwvSHEesaAg4wEALw_wcB,,"BB 20, Grey Shelving"
INA2126P,4,BB 20,Op-Amp,,,,"BB 20, Grey Shelving"
LW13700N,6,BB 20,Op-Amp,,,,"BB 20, Grey Shelving"
